house,appliance,MAE_W,RMSE_W,SAE
1,dishwasher,79.92692134180498,303.95292750073355,0.9148096550853306
1,television,80.16875200879186,175.60247006248278,4.114477070070673
1,fridge_freezer,93.13957173454713,171.74148897249245,1.8899952606574189
1,microwave,71.58622269303649,213.2025651837417,15.90845331477827
1,oven,15.131009666757771,23.518724289025087,3.310871201112595
2,kettle,24.703546216645215,189.0197300095642,0.1725944575510158
2,rice_cooker,45.56071478511678,99.75376842086422,13.497796345011322
2,washing_machine,73.18069294757524,242.6249293414797,4.658755144407765
2,dishwasher,66.37326365517683,243.54075163677862,0.5555145285352054
2,fridge,53.89691199266467,124.02875042592437,0.7045381613337596
5,fridge_freezer,173.75635904249089,301.93183790908216,3.3756097488378676
5,washer_dryer,294.4528368230705,425.08733921578903,4.699107051121663
5,electric_oven,84.41366609890139,410.1065817627803,2.187542997774058
